['post+malone']	Sunflower	swae lee ayy ayy ayy ayy ooh ooh ooh ooh ohh ooh ayy ayy ooh ooh ooh ohh needless say keep check badbad nevertheless yeah callin quits baby wreck wreck crash place baby wreck wreck needless say keepin check badbad nevertheless callin quits baby wreck crash place baby wreck thinkin bad way losin grip screamin face baby trip someone took big l know felt lookin sideways party tilt oohooh things refuse wanna ride like cruise tryna lose left dust unless stuck ya sunflower think love would much left dust unless stuck ya sunflower sunflower post malone every time leavin make easy wish could give reason go every time walkin hear tellin turn around fightin trust back even gotta risk right oh know scared unknown known wanna alone alone know always come go go control left dust unless stuck ya sunflower think love would much left dust unless stuck ya sunflower sunflower yeah	
['post+malone']	Yours Truly	 Austin Post	amma take bud light break ah ah came high life came high life see us popping champagne could night everything gone bad gon make alright expecting awards put work got phone yeah realtor eating good bitch belly broke might cop mulsanne cause bitch bentley talk put sauce bitch real quick put ice wrist real slick girl know know wallet us real thick wonderin wonderin drinking came high life came high life see us popping champagne could night everything gone bad gon make alright fucking fuck gotta stunt bring money back truly rocking goddamn jewelry yeah hey hopped foreign looking pretty yeah yeah watch arm look like trillion know white iverson keep jewelry tucked bought brain feel like bubba chuck girl zoned feel xans nobody understand go call friends let us get lot kerosene gon ride bumpandgrind yeah let see doubletime gotta tell hoes know yeah came high life came high life see us popping champagne could night everything gone bad gon make alright fucking fuck gotta stunt bring money back truly rocking god damn jewelry tell call night gets long sitting phone drugs wore came high life came high life see us popping champagne could night everything gone bad gon make alright high life high life high life high life high life
['post+malone']	Feel	post malone talkin noise take lovin dawn always talkin phone fuck morn wake wearin clothes always callin phone always stealin clothes yeah askin feel know could buy store yeah yeah bringin floor droppin foreign foreign hey came long way ayy doin shit ayy give fuck told ayy came long way ayy pussy made gold ayy swear pussy soul ayy got soldier four days hundred thousand forever like diamond bring back life yeah fly moshin quit talkin nonsense tryna fuck til know nothin kehlani post malone cross ts dot yeah real yeah real hold hold shit shit buy whatever know drill know drill need pill pill whispered ear told feel feel feel oh oh oh kehlani love say feel feel say real could forget never changed set make calls collect connect go half jet baby next fuck stress fuckin bitches new game got vet know like act like still shy turn around put thing overdrive ride ama keep shoulder every cold nigga need bitch ten times colder kehlani post malone cross ts dot yeah real yeah real hold hold shit shit buy whatever know drill know drill need pill pill whispered ear told feel feel feel oh oh oh post malone hey fuck til see straight make think hoe mistake need feel time ride hoe ride hoe alright alright alright	
['post+malone']	rockstar	post malone hahahahaha tank god ayy fuckin hoes poppin pillies man feel like rockstar star ayy ayy brothers got gas always smokin like rasta fuckin call uzi show man shottas homies pull block make thing go grrratatata pow pow pow ayy ayy switch whip came back black startin sayin rest peace bon scott ayy close door blowin smoke ask light fire like morrison ayy act fool stage prolly leave fuckin show cop car ayy shit legendary threw tv window montage cocaine table liquor pourin give damn dude girlfriend groupie tryna get sayin band ayy ayy actin outta pocket tryna grab pants hundred bitches trailer say got man brought friend yeah ayy ayy ayy fuckin hoes poppin pillies man feel like rockstar star ayy ayy brothers got gas always smokin like rasta fuckin call uzi show man shottas homies pull block make thing go grrratatata pow pow pow 21 savage hills fuckin superstars feelin like popstar 21 21 21 drankin henny bad bitches jumpin pool got bra bra hit back pullin tracks screamin mas yeah yeah yeah like savage got 12 car garage got 6 cars 21 cakin kiss kiss wifey say lookin like whole snack big snack green hundreds safe got old racks old racks la bitches always askin coke livin like rockstar smash cop car sweeter poptart know hard done made hot chart member used trap hard livin like rockstar livin like rockstar post malone ayy fuckin hoes poppin pillies man feel like rockstar star ayy ayy brothers got gas always smokin like rasta fuckin call uzi show man shottas homies pull block make thing go grrratatata pow pow pow star star rockstar rockstar star rockstar rockstar feel like rock rockstar rockstar rockstar feel like	
['post+malone']	Same Bitches	post malone la long see bitches everywhere go really matter acting model heard population four million see bitch population four million see bitch yeah yeah yeah hit dm baby took screenshot yeah tried play bet shit good reputation let go could see naked holy moly look roll million followers bumpers broken focus tell goal know like spent hundred bands one night spent hundred bands one night know wanna live life make ho housewife ohh name daddy rich like rich like yeah yeah yeah post malone geazy la long see bitches everywhere go really matter acting model heard population four million see bitch uh yeah yeah yeah yeah population four million see bitch gerald yeah yeah yeah geazy everywhere go see ho always post selfies gram angle catfish hollywood devil angel bag chanel drive durango yeah gettin queso woke hip game thankful ogs put song lace bro real recognizin speak lingo clothes new wrinkle giving game game gettin sprinkled bottles deck drink fool turn beast dog pitbull life switch back take never get bitch back yeah beat knockin yeah shit cloud welcome west people gettin rich ayy post malone geazy la long g see bitches everywhere go eazy know really matter yee yee yee acting model heard ayy post malone yg population four million see bitch west side nigga population four million see bitch hol let talk shit yeah yeah yeah yg la long bros hit hoes la hollywood valley hoes know fuck know ye yeah fuck go baby program baby ridin streets hometown baby tryna brother like motown baby fucked la laker record fucked dodger baseball player record fucked head record label ooh think stable ah damn ah damn fuck designer everything benz truck pullin friend tell oh never mind friend fucked post malone yg population four million see bitch haha never mind friend fucked population four million see bitch haha never mind friend fucked post malone population four million see bitch see bitch yeah yeah yeah population four million see bitch see bitch	
['post+malone']	Candy Paint	yeah yeah mmm candy paint white top lambo doors ooop drop busy plotting got kick door swat thot hundred thousand dollars table top half price whip price watch got jumper ball lot bitch young stoney want candy paint white top skrrt lambo doors ooop drop drop busy plotting got kick door swat thot pop hundred thousand dollars table top half price whip price watch bling got jumper ball lot swish bitch young stoney want know girl gave top yuh kicked rolls said thanks lot goddamn love paper like michael scott yeah things man cannot yeah slide boy comin damn hot hot everybody say gotta stopped stopped even though final form unlocked locked ahead motherfuckers comprehend understanding count hundred bands watch vanish diamonds going crazy like dance floor got lot ass nothing handle flavor lasts forever try sample god damn baby boss like tony danza tony danza everybody trying tell stand fucking know homie want war aye candy paint white top lambo doors ooop drop busy plotting got kick door swat thot hundred thousand dollars table top half price whip price watch got jumper ball lot hey hey bitch young stoney want hey hey candy paint white top yeah lambo doors ooop drop drop drop busy plotting got kick door swat thot pop pop pop pop hundred thousand dollars table top half price whip price watch yeah got jumper ball lot swish bitch young stoney want rolling twenty ash hit road wooh hit switch suicide doors damn already know vanished though ooh hit momma ride oh motherfuckers false yah money funny talk nah know shit could offer take second think crossing lasts forever try sample god damn baby boss like tony danza tony danza everybody trying tell stand stand fucking know homie want war want war candy paint white top lambo doors ooop drop busy plotting got kick door swat thot hundred thousand dollars table top half price whip price watch got jumper ball lot bitch young stoney want candy paint white top lambo doors ooop drop busy plotting got kick door swat thot hundred thousand dollars table top half price whip price watch got jumper ball lot bitch young stoney want	
['post+malone']	Hit This Hard	ooh yeah yeah ooh yeah yeah never thought would hit hard ooh yeah yeah ooh yeah yeah never thought would hit hard tell overdose like oh god become traces see become turned taken like someone hurt drink mixture shit gon hit fix oooh yeah ran yeah feel change air tonight saw different light ooh yeah yeah ooh yeah yeah never thought would hit hard ooh yeah yeah ooh yeah yeah never thought would hit hard keep running running running around never thought would hit hard feeling different instead wake ground never thought would hit hard know know anymore never thought would hit hard city sinning don’t ever want come never thought would hit hard j take way high city angels smoke boge sky pass fuego already dropped something faygo came club cause paid us take shit lemme see made sleep little mama gon stay vampires night las vegas oooh yeah ran yeah feel change air tonight saw different light ooh yeah yeah ooh yeah yeah never thought would hit hard ooh yeah yeah ooh yeah yeah never thought would hit hard keep running running running around never thought would hit hard feeling different instead wake ground never thought would hit hard know know anymore never thought would hit hard city sinning don’t ever want come keep running running running around never thought would hit hard feeling different instead wake ground never thought would hit hard know know anymore never thought would hit hard city sinning don’t ever want come never thought would hit hard	
['post+malone']	No Option	hoe look clean motherfuckers talkin show spot everyone watchin wanna prove wrong shit leave option yeah yeah everybody asking post album droppin ever since very first day poppin wanna prove wrong shit leave option yeah yeah ooh swingin fourdoor takin photos bottles need ooh say bring little shorter boarder always bring four rolls oh yeah everything went waited long get caddy sits chrome swang dubs four baby wanna get sclass lil momma wanna go fast know baby get free pass told ass gas grass rolex diamonds keep shining gotta perfect timing riding brand new aston martin mileage ooh ooh ooh yeah hoe clean motherfuckers talkin show spot everyone watchin wanna prove wrong shit leave option yeah yeah less hoppin oldschool swimmin car pool everything cool told tell rumors heard said everything true baby wanna get sclass lil momma wanna go fast know baby get free pass told ass gas grass rolex diamonds keep shining gotta perfect timing riding brand new aston martin mileage ooh ooh ooh yeah lil momma yeah ridin around la lil momma yeah run city yeah baby wanna get sclass lil momma wanna go fast know baby get free pass told ass gas grass rolex diamonds keep shining gotta perfect timing riding brand new aston martin mileage oh oh come hop ooh wanna put dime coupe gold tooth oh yeah	
['post+malone']	Fuck The Internet	ayeahyeahyeah ohh woahohoh ayeahyeahyeah seen lil mama instagram flexin care puppies ass breastses good model damn never woulda guessed tryna throw vibes ama catch em lifes live dangerous paranoid since leakin shit wonder come web help bitches dick takin photo postin shit comin home late crawl bed always askin woah world gone shit know people freakin like hit prozac leon dechino shorts got blows man well fuck internet quote woah lot well ignorance bliss wake prolly last know get internet lot try hard fuck shit prolly last know get internet lot well ignorance bliss wake prolly last know get internet lot try hard fuck shit prolly last know get internet oohooh oohooh oohooh	
['post+malone']	Too Young	wanna die young yeah young yeah young wanna die young young young counting bands hallelujah lujah lujah wanna die young young young grindin way long long long came know keep going flow wanna go cop somethin hit fairfax go shoppin though wanna hit bathingroom hold guap like register keep winning need guap though like cash eat papadeauxs flowing galapagos running grab dough man shit never minimal feel like animal yeah bitch try keep cool life never going never going back yeah wanna die young wanna die young get cash hallelujah aye hallelujah aye hallelujah aye hallelujah wanna die young young young counting bands hallelujah lujah lujah wanna die young young young grindin way long long long whip fast bitch bad skrrr skrrr coupe fast coupe fast bitch know bitch slow say always keep toes poppin woe man gone watch go bitches watching go walking around aye pick band go drop shit pull porsche shit poppin pop shit got bitch tell knock shit got nut washed nuts want shit got shit pop shit got rich quick suck know make god damn numb see em die god damn young wanna die wanna die young young young counting bands hallelujah lujah lujah wanna die young young young grindin way long long long wanna die young young young counting bands hallelujah lujah lujah wanna die young young young	
